domain,signal,factor,level_a,level_b,n,mean_a,mean_b,cohens_d,mean_diff,ci_lo,ci_hi
multimodal_isc,gx_isc,graph_nodes,6,12,13,0.12353678562944086,0.19805115177809354,-0.281571950190743,-0.0765322757364332,-0.21525497751172087,0.057382185478704106
multimodal_isc,gx_isc,question_level,1,2,13,0.21921693781859458,0.1471893623595967,0.3382726992640478,0.07456703272721342,-0.03279104726130598,0.1939275861742651
multimodal_isc,gy_isc,adaptation,non_adapted,fully_adapted,13,0.7322652808576668,0.5581004216219316,0.8808667667180283,0.303524291863635,0.1330321716599932,0.4983431031886404
multimodal_isc,gy_isc,adaptation,non_adapted,semi_adapted,13,0.7322652808576668,0.5257116528128835,1.0307308605485537,0.3493939159454953,0.17791241951680759,0.5274518083072005
multimodal_isc,gy_isc,graph_nodes,6,12,13,0.6071879820780346,0.7533989952476854,-0.7855660540921903,-0.27631481829811516,-0.4653673788937677,-0.09778313925878367
multimodal_isc,gy_isc,question_level,1,2,13,0.6695288480537649,0.7331245103661715,-0.3280905696357626,-0.12556077293884121,-0.31723209971426714,0.08828149741582214
multimodal_isc,ppg_isc,adaptation,non_adapted,fully_adapted,11,0.1661802895692382,0.1097468584039811,0.2594321006201145,0.05754520551060613,-0.05717981500899271,0.1867495558797672
multimodal_isc,ppg_isc,adaptation,non_adapted,semi_adapted,11,0.1661802895692382,0.10981406410831135,0.42175772093931746,0.057477179979577665,-0.01825755138649177,0.1370496039587034
multimodal_isc,ppg_isc,graph_nodes,6,12,10,0.058079241440789554,0.2903275601016729,-0.4522364319120143,-0.2407792599827193,-0.5840308215399864,0.03138816386432117
multimodal_isc,ppg_isc,question_level,1,2,11,0.06329371145181575,0.21846578608079797,-0.4355673675009632,-0.1586659972444238,-0.3775585132296151,0.024300289715518092
multimodal_isc,pupil_isc,adaptation,non_adapted,fully_adapted,13,0.5449614079609264,0.6197598900162066,-0.5377724857230313,-0.11342915115826308,-0.21322894493672637,0.004942471833015621
multimodal_isc,pupil_isc,adaptation,non_adapted,semi_adapted,13,0.5449614079609264,0.5544312299316639,-0.075114852719563,-0.013570705403780196,-0.10727472036299392,0.08202048847456209
multimodal_isc,pupil_isc,graph_nodes,6,12,13,0.6620055806545071,0.6205804493175269,0.19573216516860256,0.07042693463597177,-0.1213820230712046,0.25209179754349365
multimodal_isc,pupil_isc,question_level,1,2,13,0.6220097999431364,0.6401685331641938,-0.0821893426832048,-0.03018274923439755,-0.23749831291436121,0.14781008399842147
behaviour,RT,adaptation,non_adapted,fully_adapted,13,10.202721069136901,7.732874654712402,2.3476899876874704,2.4698464144244996,1.9293564601961768,3.0412250517783965
behaviour,RT,adaptation,non_adapted,semi_adapted,13,10.202721069136901,8.776117678318725,1.3304583873985083,1.426603390818176,0.8666406301502719,1.9747853796245711
behaviour,RT,question_level,1,2,13,6.949389097936109,11.130188674877765,-3.5522466016457472,-4.180799576941658,-4.835434573235349,-3.5915062581322643
behaviour,RT,graph_nodes,6,12,13,7.864721107405186,9.978804854462643,-3.125577887390209,-2.1140837470574576,-2.4576013770944236,-1.748376484224458
behaviour,accuracy,adaptation,non_adapted,fully_adapted,13,0.7115384615384616,0.7980769230769231,-0.7144019708113816,-0.08653846153846154,-0.14903846153846154,-0.02403846153846154
behaviour,accuracy,adaptation,non_adapted,semi_adapted,13,0.7115384615384616,0.7788461538461539,-0.6936702358268034,-0.0673076923076923,-0.11538461538461539,-0.014423076923076924
behaviour,accuracy,question_level,1,2,13,0.9166666666666667,0.6089743589743589,2.7104156745297487,0.3076923076923077,0.24679487179487183,0.3653846153846155
behaviour,accuracy,graph_nodes,6,12,13,0.846153846153846,0.6794871794871794,1.4605934866804429,0.16666666666666666,0.11217948717948717,0.23076923076923073
