modality,signal,condition_factor,condition_level,participant_id,loo_r,loo_fisher_z
et,gx_isc,graph_nodes,6,sphynx_5_1,-0.11435358779642939,-0.11485599311691633
et,gx_isc,graph_nodes,6,sphynx_7,-0.21792415125784825,-0.22147572201264695
et,gx_isc,graph_nodes,6,sphynx_10,0.13258224525668513,0.13336738867464296
et,gx_isc,graph_nodes,6,sphynx_4,0.24352559970919865,0.2485185784315029
et,gx_isc,graph_nodes,6,sphynx_11,-0.10427339325004815,-0.10465379748690141
et,gx_isc,graph_nodes,6,sphynx_8,0.17577707091951517,0.17762175331238125
et,gx_isc,graph_nodes,6,sphynx_9,0.272257639974342,0.2793005930222669
et,gx_isc,graph_nodes,6,sphynx_2,0.049982876745977636,0.05002456312377746
et,gx_isc,graph_nodes,12,sphynx_12,0.34345396039465287,0.3580031694518456
et,gx_isc,graph_nodes,12,sphynx_13,-0.1233015992056118,-0.12393222492030283
et,gx_isc,graph_nodes,12,sphynx_3,0.6223253040824588,0.7287912698338053
et,gx_isc,graph_nodes,12,trial_1_3,-0.15281090858269322,-0.1540172945813189
et,gx_isc,graph_nodes,12,sphynx_6,0.432771103651252,0.4633013816337492
et,gx_isc,graph_nodes,12,sphynx_5_1,0.23696380805733055,0.241554825115288
et,gx_isc,graph_nodes,12,sphynx_7,-0.07705510023454867,-0.07720815043573043
et,gx_isc,graph_nodes,12,sphynx_10,0.0726751233750453,0.07280347914033083
et,gx_isc,graph_nodes,12,sphynx_4,-0.08015189814181747,-0.08032420346025144
et,gx_isc,graph_nodes,12,sphynx_11,0.20919725112464183,0.21233171112124105
et,gx_isc,graph_nodes,12,sphynx_8,0.5598469820818316,0.6326102862863234
et,gx_isc,graph_nodes,12,sphynx_9,0.5140229646198299,0.5681821157896845
et,gx_isc,graph_nodes,12,sphynx_2,-0.22882874338313478,-0.23295314096375477
et,gx_isc,question_level,2,sphynx_12,-0.08325148065956287,-0.0834446178274597
et,gx_isc,question_level,2,sphynx_13,-0.21100871339830474,-0.21422683077441393
et,gx_isc,question_level,2,sphynx_3,0.4326971280929361,0.4632103618112466
et,gx_isc,question_level,2,trial_1_3,0.024039263033909516,0.024043895292692356
et,gx_isc,question_level,2,sphynx_6,0.4012373876504412,0.4251228802954938
et,gx_isc,question_level,2,sphynx_5_1,0.09813925575751364,0.0984561590807193
et,gx_isc,question_level,2,sphynx_7,0.1744541323258642,0.17625696253859524
et,gx_isc,question_level,2,sphynx_10,0.15987608464858266,0.16125952779122607
et,gx_isc,question_level,2,sphynx_4,0.06520208869149431,0.06529472324633602
et,gx_isc,question_level,2,sphynx_11,0.09990993088729654,0.10024436965681242
et,gx_isc,question_level,2,sphynx_8,0.47086431172143994,0.5111802877979774
et,gx_isc,question_level,2,sphynx_9,0.06201650712948135,0.06209619724259918
et,gx_isc,question_level,2,sphynx_2,0.13709963029755304,0.13796843877358148
et,gx_isc,question_level,1,sphynx_12,0.4568047579330536,0.49326598865002813
et,gx_isc,question_level,1,sphynx_13,0.15973382292439736,0.16111353783014365
et,gx_isc,question_level,1,sphynx_3,0.4613332791864934,0.49900372598682663
et,gx_isc,question_level,1,trial_1_3,-0.052507519465176115,-0.05255585455094721
et,gx_isc,question_level,1,sphynx_6,0.5567288327805633,0.628080149102114
et,gx_isc,question_level,1,sphynx_5_1,0.20341434266113506,0.20629170771273295
et,gx_isc,question_level,1,sphynx_7,0.04838748198566478,0.04842529911045377
et,gx_isc,question_level,1,sphynx_10,0.08325096453984224,0.08344409810566891
et,gx_isc,question_level,1,sphynx_4,0.16517344360426855,0.1667006235826882
et,gx_isc,question_level,1,sphynx_11,-0.009065621612183784,-0.009065869978631715
et,gx_isc,question_level,1,sphynx_8,0.28727766826772577,0.29559651239099294
et,gx_isc,question_level,1,sphynx_9,0.23330663911810992,0.2376836172935536
et,gx_isc,question_level,1,sphynx_2,0.1379647571488189,0.13885024514355696
et,gy_isc,adaptation,non_adapted,sphynx_12,0.8758009460543419,1.357452733068094
et,gy_isc,adaptation,non_adapted,sphynx_13,0.6406999842351914,0.7593602557081636
et,gy_isc,adaptation,non_adapted,sphynx_3,0.7569735182635657,0.9890888000995723
et,gy_isc,adaptation,non_adapted,trial_1_3,0.4303630311297612,0.46034214887650543
et,gy_isc,adaptation,non_adapted,sphynx_6,0.7664675568947398,1.011708045391909
et,gy_isc,adaptation,non_adapted,sphynx_5_1,0.8363062021914739,1.2087568689776598
et,gy_isc,adaptation,non_adapted,sphynx_7,0.808412130078468,1.1224289544410508
et,gy_isc,adaptation,non_adapted,sphynx_10,0.7273837040672937,0.9231489679416626
et,gy_isc,adaptation,non_adapted,sphynx_4,0.7769935275195514,1.0377386950846574
et,gy_isc,adaptation,non_adapted,sphynx_11,0.6844686154346197,0.8374736393063388
et,gy_isc,adaptation,non_adapted,sphynx_8,0.8267006468822314,1.1776231147124172
et,gy_isc,adaptation,non_adapted,sphynx_9,0.6634531746693005,0.7989568264744266
et,gy_isc,adaptation,non_adapted,sphynx_2,0.4240723166091529,0.45264688583644397
et,gy_isc,adaptation,semi_adapted,sphynx_12,0.5722880944441426,0.6509186856538427
et,gy_isc,adaptation,semi_adapted,sphynx_13,0.5328185325887685,0.5940728672243716
et,gy_isc,adaptation,semi_adapted,sphynx_3,0.7401903685765023,0.9509003087243905
et,gy_isc,adaptation,semi_adapted,trial_1_3,0.3739206898367909,0.39297334619565205
et,gy_isc,adaptation,semi_adapted,sphynx_6,0.3935560228892054,0.4160008479004155
et,gy_isc,adaptation,semi_adapted,sphynx_5_1,0.510819068946871,0.5638373946593346
et,gy_isc,adaptation,semi_adapted,sphynx_7,0.6282782381453073,0.7385664087485351
et,gy_isc,adaptation,semi_adapted,sphynx_10,0.5737200328946168,0.6530506065725219
et,gy_isc,adaptation,semi_adapted,sphynx_4,0.702421730227911,0.872064890739208
et,gy_isc,adaptation,semi_adapted,sphynx_11,0.6785318317702128,0.8263881260254708
et,gy_isc,adaptation,semi_adapted,sphynx_8,0.1494507083933184,0.1505785480915081
et,gy_isc,adaptation,semi_adapted,sphynx_9,0.7259574822014652,0.9201269844121279
et,gy_isc,adaptation,semi_adapted,sphynx_2,-0.13406206314011573,-0.13487398631991598
et,gy_isc,adaptation,fully_adapted,sphynx_12,0.6522833544844407,0.7792627751892515
et,gy_isc,adaptation,fully_adapted,sphynx_13,0.3112069494191126,0.3218812317831572
et,gy_isc,adaptation,fully_adapted,sphynx_3,0.728887357039536,0.926349471582791
et,gy_isc,adaptation,fully_adapted,trial_1_3,0.09589707428108069,0.09619267148789061
et,gy_isc,adaptation,fully_adapted,sphynx_6,0.6058350146033589,0.702314796143073
et,gy_isc,adaptation,fully_adapted,sphynx_5_1,0.5755489382916822,0.6557811541150129
et,gy_isc,adaptation,fully_adapted,sphynx_7,0.6560592213043507,0.7858633041822317
et,gy_isc,adaptation,fully_adapted,sphynx_10,0.6539059975509375,0.7820923095139917
et,gy_isc,adaptation,fully_adapted,sphynx_4,0.6352878537654594,0.7502328615976412
et,gy_isc,adaptation,fully_adapted,sphynx_11,0.6482590335470891,0.7722899323647301
et,gy_isc,adaptation,fully_adapted,sphynx_8,0.05073539992870305,0.05077899962573699
et,gy_isc,adaptation,fully_adapted,sphynx_9,0.6963019241254174,0.8600858926944213
et,gy_isc,adaptation,fully_adapted,sphynx_2,0.6092858226899499,0.707784741411717
et,gy_isc,graph_nodes,6,sphynx_12,0.7693455872200556,1.0187222453581644
et,gy_isc,graph_nodes,6,sphynx_13,0.5535453899121406,0.6234786041168627
et,gy_isc,graph_nodes,6,sphynx_3,0.702282792916257,0.8717906911000308
et,gy_isc,graph_nodes,6,trial_1_3,-0.01841984871492936,-0.018421932367690314
et,gy_isc,graph_nodes,6,sphynx_6,0.7042350548092174,0.8756533030339821
et,gy_isc,graph_nodes,6,sphynx_5_1,0.7654747486363123,1.009305824392856
et,gy_isc,graph_nodes,6,sphynx_7,0.6145810275619416,0.7162498968296199
et,gy_isc,graph_nodes,6,sphynx_10,0.7314441681836994,0.9318261432481718
et,gy_isc,graph_nodes,6,sphynx_4,0.8190347144169746,1.1538780210825288
et,gy_isc,graph_nodes,6,sphynx_11,0.7149791736746548,0.8972969817358893
et,gy_isc,graph_nodes,6,sphynx_8,0.11514282085633129,0.11565575682963425
et,gy_isc,graph_nodes,6,sphynx_9,0.5316727231591046,0.5924741696472324
et,gy_isc,graph_nodes,6,sphynx_2,0.35399727854301655,0.3700063634880381
et,gy_isc,graph_nodes,12,sphynx_12,0.8466363931425093,1.2441547399897435
et,gy_isc,graph_nodes,12,sphynx_13,0.6312566596929626,0.7435025531632157
et,gy_isc,graph_nodes,12,sphynx_3,0.8910614046521954,1.4270545810633684
et,gy_isc,graph_nodes,12,trial_1_3,0.6968589343537335,0.8611679374679287
et,gy_isc,graph_nodes,12,sphynx_6,0.7105661807323139,0.8883265136126431
et,gy_isc,graph_nodes,12,sphynx_5_1,0.8180878922612769,1.1510084866141936
et,gy_isc,graph_nodes,12,sphynx_7,0.8498433696475154,1.2555886488932924
et,gy_isc,graph_nodes,12,sphynx_10,0.8205727920441577,1.1585684262441236
et,gy_isc,graph_nodes,12,sphynx_4,0.7094211878398715,0.8860176338714464
et,gy_isc,graph_nodes,12,sphynx_11,0.6192609353281928,0.7238054202503955
et,gy_isc,graph_nodes,12,sphynx_8,0.7214805982351861,0.9107261451416948
et,gy_isc,graph_nodes,12,sphynx_9,0.7902733809175216,1.0721593726070697
et,gy_isc,graph_nodes,12,sphynx_2,0.403588462125032,0.4279282474517019
et,gy_isc,question_level,2,sphynx_12,0.7581969065158358,0.9919601731450803
et,gy_isc,question_level,2,sphynx_13,0.7193820502915235,0.9063630487597444
et,gy_isc,question_level,2,sphynx_3,0.8308219349949124,1.1907842452438635
et,gy_isc,question_level,2,trial_1_3,0.5784257234031202,0.6600936350563527
et,gy_isc,question_level,2,sphynx_6,0.830729079556828,1.1904845298574946
et,gy_isc,question_level,2,sphynx_5_1,0.8844231279880791,1.3957205765130813
et,gy_isc,question_level,2,sphynx_7,0.8379329263137941,1.2141932624249236
et,gy_isc,question_level,2,sphynx_10,0.8240235443872167,1.169224933747937
et,gy_isc,question_level,2,sphynx_4,0.7229304483024552,0.9137566526280418
et,gy_isc,question_level,2,sphynx_11,0.6793019881673579,0.8278167978041467
et,gy_isc,question_level,2,sphynx_8,0.5117181981191724,0.5650547302038317
et,gy_isc,question_level,2,sphynx_9,0.8235670854916272,1.1678045413164804
et,gy_isc,question_level,2,sphynx_2,-0.0324028305001157,-0.032414178029137417
et,gy_isc,question_level,1,sphynx_12,0.8081888651430643,1.1217848905107253
et,gy_isc,question_level,1,sphynx_13,0.42708537037780225,0.4563263617937529
et,gy_isc,question_level,1,sphynx_3,0.7695852280397693,1.0193097112446212
et,gy_isc,question_level,1,trial_1_3,0.15914948710471002,0.16051395973224752
et,gy_isc,question_level,1,sphynx_6,0.5453980482676788,0.6118072939316773
et,gy_isc,question_level,1,sphynx_5_1,0.7584019715864331,0.992442699700055
et,gy_isc,question_level,1,sphynx_7,0.7047098838017875,0.8765959506484373
et,gy_isc,question_level,1,sphynx_10,0.7011231870667388,0.8695062592679572
et,gy_isc,question_level,1,sphynx_4,0.7627080175212476,1.002657587706324
et,gy_isc,question_level,1,sphynx_11,0.7373085710214046,0.9445561634550048
et,gy_isc,question_level,1,sphynx_8,0.6445436361831295,0.7659078520660564
et,gy_isc,question_level,1,sphynx_9,0.7330465249173059,0.9352808716131209
et,gy_isc,question_level,1,sphynx_2,0.6480116199617121,0.7718632987969252
et,pupil_isc,adaptation,non_adapted,sphynx_12,0.5112722675303482,0.5644507931172813
et,pupil_isc,adaptation,non_adapted,sphynx_13,0.437953441308866,0.469695734627712
et,pupil_isc,adaptation,non_adapted,sphynx_3,0.6882910528718914,0.8447010971626728
et,pupil_isc,adaptation,non_adapted,trial_1_3,0.6563493179835885,0.7863727856604666
et,pupil_isc,adaptation,non_adapted,sphynx_6,0.21819577724098121,0.22176090866543355
et,pupil_isc,adaptation,non_adapted,sphynx_5_1,0.5857145752993909,0.6711176264729274
et,pupil_isc,adaptation,non_adapted,sphynx_7,0.7664308691554466,1.0116191174049485
et,pupil_isc,adaptation,non_adapted,sphynx_10,0.5531265180410098,0.6228748851337856
et,pupil_isc,adaptation,non_adapted,sphynx_4,0.6634617095444338,0.7989720721083068
et,pupil_isc,adaptation,non_adapted,sphynx_11,0.2763069300456861,0.2836793048977812
et,pupil_isc,adaptation,non_adapted,sphynx_8,0.26730528222834304,0.27395948415022814
et,pupil_isc,adaptation,non_adapted,sphynx_9,0.46889353206322687,0.5086510956715645
et,pupil_isc,adaptation,non_adapted,sphynx_2,0.7101879373233465,0.8875629475808495
et,pupil_isc,adaptation,semi_adapted,sphynx_12,0.3944503126901258,0.41705947796267895
et,pupil_isc,adaptation,semi_adapted,sphynx_13,0.40084188272591126,0.4246515738261808
et,pupil_isc,adaptation,semi_adapted,sphynx_3,0.7050453058456335,0.8772625981502316
et,pupil_isc,adaptation,semi_adapted,trial_1_3,0.6155522347236804,0.7178120947666995
et,pupil_isc,adaptation,semi_adapted,sphynx_6,0.30715505271110694,0.3174010531217172
et,pupil_isc,adaptation,semi_adapted,sphynx_5_1,0.6646647783135411,0.8011241772751884
et,pupil_isc,adaptation,semi_adapted,sphynx_7,0.7159546588412414,0.8992954898632445
et,pupil_isc,adaptation,semi_adapted,sphynx_10,0.7319143779383456,0.9328381188694835
et,pupil_isc,adaptation,semi_adapted,sphynx_4,0.6823643151245431,0.8335251662428661
et,pupil_isc,adaptation,semi_adapted,sphynx_11,0.5023230389216874,0.5524083438524898
et,pupil_isc,adaptation,semi_adapted,sphynx_8,0.13822851061505048,0.1391191263591673
et,pupil_isc,adaptation,semi_adapted,sphynx_9,0.5789924698387919,0.6609457627050247
et,pupil_isc,adaptation,semi_adapted,sphynx_2,0.4993156097526575,0.5483940399081282
et,pupil_isc,adaptation,fully_adapted,sphynx_12,0.6676806289074272,0.8065463137277533
et,pupil_isc,adaptation,fully_adapted,sphynx_13,0.19083130166136614,0.19319974636373485
et,pupil_isc,adaptation,fully_adapted,sphynx_3,0.7799039080837392,1.045125212588823
et,pupil_isc,adaptation,fully_adapted,trial_1_3,0.7238033795983274,0.915587695458557
