kind,source,feature,outcome,n,spearman_r,p_raw,mean_non,mean_semi,mean_full,human_non,human_semi,human_full
adaptation_mean_alignment_n3,clipgaze,saliency_spread,rt_median,3,,,236.4866777785744,235.98185582288136,240.88367147132487,10.243326821881013,8.681941559374497,7.368686253122894
adaptation_mean_alignment_n3,clipgaze,saliency_spread,accuracy,3,,,236.4866777785744,235.98185582288136,240.88367147132487,0.7115384615384616,0.7788461538461539,0.7980769230769231
adaptation_mean_alignment_n3,clipgaze,saliency_spread,response_rate,3,,,236.4866777785744,235.98185582288136,240.88367147132487,0.8798076923076923,0.9423076923076923,0.9615384615384616
adaptation_mean_alignment_n3,clipgaze,saliency_spread,isc_gfp_isc,3,,,236.4866777785744,235.98185582288136,240.88367147132487,0.4006554690677107,0.1498955619254896,0.1776212014038031
adaptation_mean_alignment_n3,clipgaze,saliency_spread,isc_occ_isc,3,,,236.4866777785744,235.98185582288136,240.88367147132487,0.1716950813275209,0.1325833248342661,0.1007692209982211
adaptation_mean_alignment_n3,clipgaze,saliency_spread,isc_eda_isc,3,,,236.4866777785744,235.98185582288136,240.88367147132487,0.415691354370984,0.5159419572157351,0.0057511245123627
adaptation_mean_alignment_n3,clipgaze,saliency_spread,isc_ppg_isc,3,,,236.4866777785744,235.98185582288136,240.88367147132487,0.1661802895692382,0.1098140641083113,0.1097468584039811
adaptation_mean_alignment_n3,clipgaze,saliency_spread,isc_gx_isc,3,,,236.4866777785744,235.98185582288136,240.88367147132487,0.2288193872323548,0.1932032078067307,-0.0442555653564789
adaptation_mean_alignment_n3,clipgaze,saliency_spread,isc_gy_isc,3,,,236.4866777785744,235.98185582288136,240.88367147132487,0.7322652808576668,0.5257116528128835,0.5581004216219316
adaptation_mean_alignment_n3,clipgaze,saliency_spread,isc_pupil_isc,3,,,236.4866777785744,235.98185582288136,240.88367147132487,0.5449614079609264,0.5544312299316639,0.6197598900162066
adaptation_mean_alignment_n3,clipgaze,saliency_skewness,rt_median,3,,,4.875250972675723,4.8406638980384615,4.707222975193647,10.243326821881013,8.681941559374497,7.368686253122894
adaptation_mean_alignment_n3,clipgaze,saliency_skewness,accuracy,3,,,4.875250972675723,4.8406638980384615,4.707222975193647,0.7115384615384616,0.7788461538461539,0.7980769230769231
adaptation_mean_alignment_n3,clipgaze,saliency_skewness,response_rate,3,,,4.875250972675723,4.8406638980384615,4.707222975193647,0.8798076923076923,0.9423076923076923,0.9615384615384616
adaptation_mean_alignment_n3,clipgaze,saliency_skewness,isc_gfp_isc,3,,,4.875250972675723,4.8406638980384615,4.707222975193647,0.4006554690677107,0.1498955619254896,0.1776212014038031
adaptation_mean_alignment_n3,clipgaze,saliency_skewness,isc_occ_isc,3,,,4.875250972675723,4.8406638980384615,4.707222975193647,0.1716950813275209,0.1325833248342661,0.1007692209982211
adaptation_mean_alignment_n3,clipgaze,saliency_skewness,isc_eda_isc,3,,,4.875250972675723,4.8406638980384615,4.707222975193647,0.415691354370984,0.5159419572157351,0.0057511245123627
adaptation_mean_alignment_n3,clipgaze,saliency_skewness,isc_ppg_isc,3,,,4.875250972675723,4.8406638980384615,4.707222975193647,0.1661802895692382,0.1098140641083113,0.1097468584039811
adaptation_mean_alignment_n3,clipgaze,saliency_skewness,isc_gx_isc,3,,,4.875250972675723,4.8406638980384615,4.707222975193647,0.2288193872323548,0.1932032078067307,-0.0442555653564789
adaptation_mean_alignment_n3,clipgaze,saliency_skewness,isc_gy_isc,3,,,4.875250972675723,4.8406638980384615,4.707222975193647,0.7322652808576668,0.5257116528128835,0.5581004216219316
adaptation_mean_alignment_n3,clipgaze,saliency_skewness,isc_pupil_isc,3,,,4.875250972675723,4.8406638980384615,4.707222975193647,0.5449614079609264,0.5544312299316639,0.6197598900162066
adaptation_mean_alignment_n3,clipgaze,saliency_kurtosis,rt_median,3,,,26.586718008510136,26.090469307200518,24.152997656065203,10.243326821881013,8.681941559374497,7.368686253122894
adaptation_mean_alignment_n3,clipgaze,saliency_kurtosis,accuracy,3,,,26.586718008510136,26.090469307200518,24.152997656065203,0.7115384615384616,0.7788461538461539,0.7980769230769231
adaptation_mean_alignment_n3,clipgaze,saliency_kurtosis,response_rate,3,,,26.586718008510136,26.090469307200518,24.152997656065203,0.8798076923076923,0.9423076923076923,0.9615384615384616
adaptation_mean_alignment_n3,clipgaze,saliency_kurtosis,isc_gfp_isc,3,,,26.586718008510136,26.090469307200518,24.152997656065203,0.4006554690677107,0.1498955619254896,0.1776212014038031
adaptation_mean_alignment_n3,clipgaze,saliency_kurtosis,isc_occ_isc,3,,,26.586718008510136,26.090469307200518,24.152997656065203,0.1716950813275209,0.1325833248342661,0.1007692209982211
adaptation_mean_alignment_n3,clipgaze,saliency_kurtosis,isc_eda_isc,3,,,26.586718008510136,26.090469307200518,24.152997656065203,0.415691354370984,0.5159419572157351,0.0057511245123627
adaptation_mean_alignment_n3,clipgaze,saliency_kurtosis,isc_ppg_isc,3,,,26.586718008510136,26.090469307200518,24.152997656065203,0.1661802895692382,0.1098140641083113,0.1097468584039811
adaptation_mean_alignment_n3,clipgaze,saliency_kurtosis,isc_gx_isc,3,,,26.586718008510136,26.090469307200518,24.152997656065203,0.2288193872323548,0.1932032078067307,-0.0442555653564789
adaptation_mean_alignment_n3,clipgaze,saliency_kurtosis,isc_gy_isc,3,,,26.586718008510136,26.090469307200518,24.152997656065203,0.7322652808576668,0.5257116528128835,0.5581004216219316
adaptation_mean_alignment_n3,clipgaze,saliency_kurtosis,isc_pupil_isc,3,,,26.586718008510136,26.090469307200518,24.152997656065203,0.5449614079609264,0.5544312299316639,0.6197598900162066
