graph_image,number_of_nodes,question_level,adaptation,question,clipgaze__saliency_mean,clipgaze__saliency_std,clipgaze__saliency_entropy,clipgaze__saliency_center_bias,clipgaze__saliency_spread,clipgaze__saliency_skewness,clipgaze__saliency_kurtosis,clipgaze__fixation_count,clipgaze__fixation_duration_mean,clipgaze__fixation_duration_std,clipgaze__scanpath_length,clipgaze__scanpath_complexity,clipgaze__mean_saccade_mag,clipgaze__cognitive_load,clipgaze__info_processing_idx,low_level__digital_ink,low_level__mark_density,low_level__data_utility,low_level__effectiveness,sum__saliency_mean,sum__saliency_std,sum__saliency_entropy,sum__saliency_center_bias,sum__saliency_spread,sum__saliency_skewness,sum__saliency_kurtosis,visalformer__saliency_mean,visalformer__saliency_std,visalformer__saliency_entropy,visalformer__saliency_center_bias,visalformer__saliency_spread,visalformer__saliency_skewness,visalformer__saliency_kurtosis,n_trials,n_participants,response_rate,accuracy,rt_mean,rt_median,et_n_fixations,et_mean_fix_dur,et_sum_fix_dur,et_mean_saccade_mag,n_et_trials
samples/6 node/6_nodes_s00137/no_caption/nodes_shape_tlp.png,6,2,semi_adapted,Count the number of MALWARE nodes connected with at least 1 high confidence edge ( confidence 7-10).,0.0275254424985451,0.1121670343368352,17.992847829863027,0.1974968997249504,207.92397730241697,5.068495170226091,27.356482921473965,5.0,192.7473114013672,27.966044588241367,119.20606386508672,1.0165457272762433,29.80151596627168,195.9364558490433,0.0002033136707039,762.1083,2.8917000000000144,13.0,0.01705794,0.0344675782116141,0.0768592658315142,14.48076442598786,0.3279058656327319,68.22844007270955,6.247065489600335,50.52745238479526,0.3935479930991012,0.2755701177903765,21.35326829964069,0.4831796979650611,665.5826396974799,0.3597145477476869,-1.238692565700107,13,13,1.0,0.6923076923076923,11.277095384616551,10.978974999998172,39.5,0.36153598186366476,14.320695,418.5361774116743,12
samples/6 node/6_nodes_s00140/no_caption/nodes_color_type.png,6,2,semi_adapted,Count the number of nodes with TLP:RED connected to at least 1 node with high connection count (node size 7-10).,0.047022496650423,0.1494373991076363,18.60202640930807,0.2469812880683781,252.003127362528,3.7406244372527264,13.946742734793157,6.0,190.51065826416016,23.74553844586077,249.3640604140426,3.1216069313953505,49.87281208280852,594.6993913420932,0.0004694327863266,760.6994,4.300600000000031,13.0,0.01708954,0.0470762063901645,0.0885451881081928,14.58608081803352,0.40485939930202,69.65504166115409,4.32321667722555,25.825284756075543,0.2410276407506268,0.2090367008557748,21.26263519089179,0.4647962514181535,624.2520639513893,1.498886748835648,1.7242691490998876,13,13,0.9230769230769231,0.9230769230769231,9.10601180000297,8.156781450015728,36.0,0.34670456250000004,13.635635,470.386587680921,12
samples/6 node/6_nodes_s00143/no_caption/nodes_size_value.png,6,2,semi_adapted,Count the number of MALWARE nodes with high connection counts (node size 7-10),0.0274666042020954,0.1050767368519285,18.188316073937223,0.2477566762011785,235.2419333948948,5.039328348392008,28.73775994903816,6.0,206.15841674804688,23.61528533042558,143.93412504357605,1.2437994999249289,28.78682500871521,256.4197356565357,0.0002373169686081,762.4038,2.5961999999999534,13.0,0.01705133,0.0593551329636187,0.1244249826130132,14.261160223640656,0.3547780822206671,67.67361942039976,3.5896445676683104,14.86566071717638,0.2632313433443961,0.1802570743336986,21.392680156614716,0.4573515183684101,639.2741890830188,0.9036739197270162,0.8344218496593365,13,13,1.0,0.7692307692307693,11.205948953833566,10.44097909994889,36.0,0.3949268355855856,14.744540000000004,427.9233003174603,12
samples/6 node/6_nodes_s00146/no_caption/edge_width_connection_number.png,6,2,semi_adapted,Count the number of ATTACK PATTERN nodes connected with at least 1 low confidence edge? (confidence of 1-3).,0.0245793510226442,0.102033505817803,17.988927481808194,0.1733850656231306,206.40390486696745,5.5031101061208405,33.992901888155515,5.0,174.3516845703125,32.80405179419125,124.2138800473108,1.037664484020592,31.0534700118277,180.91855080777432,0.000227901516909,762.27,2.730000000000018,13.0,0.01705433,0.040216394267701,0.0889005641825925,14.220955284149582,0.3210589051085791,62.61529854142116,4.675219367944889,29.68024509854757,0.2161829336191067,0.2208184134556795,21.09344205394084,0.4306287312307084,624.0681036198762,1.6400302992802698,2.174841411347203,13,13,1.0,1.0,12.180394415377892,11.46483040000021,34.5,0.4262392011128775,14.759149999999998,388.5917161382979,12
samples/12 node/12_nodes_s00003/no_caption/non_adapted.png,12,1,non_adapted,How many CYBER OBSERVABLE nodes are in the graph?,0.0328012990801678,0.1260443254450092,18.155413709474324,0.2095972216512747,233.6599386688379,4.813207273992153,24.53546603946484,3.0,202.10919189453125,31.296954424296047,125.31830700021963,1.0131928752847708,62.65915350010982,204.7755932571016,0.0005205792497415,760.2617,4.738299999999981,25.0,0.03288341,0.05825184673128,0.1135886150121098,14.438393186960536,0.318197977940074,61.805136441286464,3.697479379066583,16.673951088248337,0.2622857988476669,0.1817182933387602,21.43288972046721,0.5635120881299525,765.1756564129199,1.5925886051927447,2.6461556905174373,13,13,1.0,1.0,9.407626076924211,8.803207400022075,38.0,0.3426057619047619,14.13672,389.3257286845238,12
samples/12 node/12_nodes_s00006/no_caption/non_adapted.png,12,1,non_adapted,How many nodes have TLP:GREEN?,0.0379053487620633,0.1359354256774384,18.34758422724904,0.251400762905349,274.65528470948163,4.481956455151892,20.88937131985336,3.0,203.04654439290368,31.612262567119807,154.32704804731023,1.0106359558879874,77.16352402365511,205.20613848227484,0.0007788783885746,759.8392,5.160799999999995,25.0,0.0329017,0.0431012144603381,0.0913122545768034,14.342214587889249,0.3027936947772137,56.75791897554533,4.490010585973847,26.63979590503387,0.3833440095619883,0.2462810344213413,21.414516112557404,0.5213879357503813,688.5851001810565,0.4164791055126283,-0.8371825240963382,13,13,0.9230769230769231,0.8461538461538461,10.51698601666942,10.28660194999975,38.5,0.34394811624649846,14.353774999999999,403.872318248194,12
samples/12 node/12_nodes_s00009/no_caption/non_adapted.png,12,1,non_adapted,Count the number of nodes with high connection counts (node size 7-10),0.0353431937016537,0.11765792360392,18.528223148510985,0.2518605229767995,255.88750136292236,4.235329752359172,19.688613253136367,5.0,190.33333435058597,25.86391582946827,180.2733979357968,1.4275492557591336,45.06834948394919,271.7102097983333,0.0004349833706239,760.0325,4.967499999999973,25.0,0.03289333,0.0521079091991186,0.1113559548610717,14.29547593846392,0.2919197367531972,58.24668137894687,4.036548168829211,19.525850452583366,0.3725255928967198,0.212211309105219,21.485166058086172,0.4645407875496531,658.0989406319296,0.5172158110281065,-0.2193749811674132,13,13,1.0,0.8461538461538461,10.189006492310577,9.192540599993665,39.5,0.36372686046511626,14.573690000000001,326.97361565476194,12
samples/12 node/12_nodes_s00012/no_caption/non_adapted.png,12,1,non_adapted,How many low confidence (confidence 1-3) edges exist in the graph?,0.0276475998885673,0.1098238073885334,18.061109787974907,0.1780740181290776,218.15857171773052,4.977427036764419,26.73859612583394,5.0,181.9232604980469,31.603173802532407,121.31219569970656,1.04613841138997,30.32804892492664,190.3169107323104,0.0002462588140942,760.0568,4.943200000000047,25.0,0.03289228,0.0530775421260226,0.114501547409273,14.292722301548087,0.3521998106826497,57.17303404341529,4.202228927387527,21.09789282271377,0.3120386324580167,0.2418566986884455,21.29981547324822,0.5235133346327189,678.8664856654761,0.9105425019270088,0.1313731625969789,13,13,1.0,0.6153846153846154,9.976702753850436,9.561472999997932,39.5,0.38459259537210755,14.67924,357.06082425657894,12
samples/12 node/12_nodes_s00015/no_caption/non_adapted.png,12,2,non_adapted,Count the number of MALWARE nodes connected with at least 1 high confidence edge ( confidence 7-10).,0.0274500894825529,0.1112980211347526,18.007877922138523,0.1998129225992648,208.87706277791085,5.063754952904949,27.452760498464595,5.0,192.56258544921877,27.80279787981648,120.0569816655386,1.026225890516282,30.014245416384654,197.61271073274216,0.0002083539640397,759.9632,5.036799999999971,25.0,0.03289633,0.0428977822203949,0.0977312188548748,14.2527549156116,0.3073695009245065,53.00088570952982,4.767203555887857,27.979436263402945,0.3889864297311179,0.22958088232129,21.46109535056141,0.4531279930087084,657.1399511105345,0.3695663325003189,-0.6434550307876954,13,13,0.8461538461538461,0.5384615384615384,14.221333136365791,14.525946100009604,36.0,0.44308033428165006,15.66562,311.47989115325083,12
samples/12 node/12_nodes_s00018/no_caption/non_adapted.png,12,2,non_adapted,Count the number of nodes with TLP:RED connected to at least 1 node with high connection count (node size 7-10).,0.0435924970560333,0.1399315792937379,18.596124817992624,0.2491287491407665,250.1306704284599,3.8940119623503855,15.611497336604655,6.0,191.98436228434244,22.85047430896289,266.5674430141332,3.7205162222082815,53.31348860282664,714.2809342892078,0.0004971616868253,760.4417,4.558300000000031,25.0,0.03287563,0.0455353262339267,0.1093211050100408,14.013708421300432,0.2906029967704029,55.679135244686094,4.134695927725227,19.757263934307403,0.3533540648635873,0.2138763658911965,21.454786722983396,0.4811121365913936,692.4276180020261,0.5973259248087285,-0.0533724357889995,13,13,0.6923076923076923,0.07692307692307693,16.40840682221137,16.625188900041394,34.0,0.4679668627450979,15.95704,276.1024627087114,12
