kind,source,feature,outcome,n,spearman_r,p_raw,mean_feature_delta,mean_outcome_delta,p_fdr_outcome,sig_raw_0.05,sig_fdr_outcome
paired_non_minus_full,clipgaze,mean_saccade_mag,delta_accuracy,16,0.04009095400458336,0.88280561089352,-0.15008155580326354,-0.08653846153846154,0.9564742244086675,False,False
paired_non_minus_full,clipgaze,mean_saccade_mag,delta_response_rate,16,0.13398894004032919,0.620797084456014,-0.15008155580326354,-0.08173076923076925,0.9656870340134402,False,False
paired_non_minus_full,clipgaze,mean_saccade_mag,delta_et_n_fixations,16,-0.48301803637089125,0.058061820316404805,-0.15008155580326354,-5.90625,0.4564694502208965,False,False
paired_non_minus_full,clipgaze,mean_saccade_mag,delta_et_mean_fix_dur,16,0.3382352941176471,0.20006555877868962,-0.15008155580326354,0.07918801908214973,0.6064641786424004,False,False
paired_non_minus_full,clipgaze,mean_saccade_mag,delta_et_mean_saccade_mag,16,0.023529411764705882,0.931073583667659,-0.15008155580326354,-2.1825431256641146,0.931073583667659,False,False
paired_non_minus_full,clipgaze,cognitive_load,delta_rt_median,16,-0.1411764705882353,0.6020026838819792,9.861040928406306,2.87464056875812,0.9579242202960289,False,False
paired_non_minus_full,clipgaze,cognitive_load,delta_accuracy,16,0.03860610385626546,0.8871198069468905,9.861040928406306,-0.08653846153846154,0.9564742244086675,False,False
paired_non_minus_full,clipgaze,cognitive_load,delta_response_rate,16,0.17095140625835104,0.526718012563325,9.861040928406306,-0.08173076923076925,0.9656870340134402,False,False
paired_non_minus_full,clipgaze,cognitive_load,delta_et_n_fixations,16,-0.347123053661038,0.18774722505193478,9.861040928406306,-5.90625,0.5520238944808616,False,False
paired_non_minus_full,clipgaze,cognitive_load,delta_et_mean_fix_dur,16,0.31764705882352945,0.2305734636218452,9.861040928406306,0.07918801908214973,0.6064641786424004,False,False
paired_non_minus_full,clipgaze,cognitive_load,delta_et_mean_saccade_mag,16,-0.10294117647058824,0.7044103818167708,9.861040928406306,-2.1825431256641146,0.849538748999101,False,False
paired_non_minus_full,clipgaze,info_processing_idx,delta_rt_median,16,-0.02647058823529412,0.9224805705017287,-8.966011905462495e-06,2.87464056875812,0.9741279946623942,False,False
paired_non_minus_full,clipgaze,info_processing_idx,delta_accuracy,16,-0.2717275771421761,0.30864759029367805,-8.966011905462495e-06,-0.08653846153846154,0.7360057922387708,False,False
paired_non_minus_full,clipgaze,info_processing_idx,delta_response_rate,16,-0.020021335868095166,0.9413321302267985,-8.966011905462495e-06,-0.08173076923076925,0.9683916249720633,False,False
paired_non_minus_full,clipgaze,info_processing_idx,delta_et_n_fixations,16,-0.345645934283757,0.1897591874238762,-8.966011905462495e-06,-5.90625,0.5520238944808616,False,False
paired_non_minus_full,clipgaze,info_processing_idx,delta_et_mean_fix_dur,16,0.3941176470588235,0.13091285429899088,-8.966011905462495e-06,0.07918801908214973,0.5195262340143642,False,False
paired_non_minus_full,clipgaze,info_processing_idx,delta_et_mean_saccade_mag,16,-0.16764705882352943,0.5348568245819436,-8.966011905462495e-06,-2.1825431256641146,0.7002746746347257,False,False
paired_non_minus_full,low_level,digital_ink,delta_rt_median,16,-0.16176470588235295,0.5494831434036931,1.5741250000000022,2.87464056875812,0.9579242202960289,False,False
paired_non_minus_full,low_level,digital_ink,delta_accuracy,16,-0.014848501483179023,0.9564742244086675,1.5741250000000022,-0.08653846153846154,0.9564742244086675,False,False
paired_non_minus_full,low_level,digital_ink,delta_response_rate,16,-0.010780719313589706,0.9683916249720633,1.5741250000000022,-0.08173076923076925,0.9683916249720633,False,False
paired_non_minus_full,low_level,digital_ink,delta_et_n_fixations,16,0.21565942908302788,0.4224551733431785,1.5741250000000022,-5.90625,0.6649368343724686,False,False
paired_non_minus_full,low_level,digital_ink,delta_et_mean_fix_dur,16,-0.0029411764705882353,0.9913748045563624,1.5741250000000022,0.07918801908214973,0.9913748045563624,False,False
paired_non_minus_full,low_level,digital_ink,delta_et_mean_saccade_mag,16,-0.2647058823529412,0.3218043958686153,1.5741250000000022,-2.1825431256641146,0.5982975602745494,False,False
paired_non_minus_full,low_level,mark_density,delta_rt_median,16,0.16176470588235295,0.5494831434036931,-1.5741250000000022,2.87464056875812,0.9579242202960289,False,False
paired_non_minus_full,low_level,mark_density,delta_accuracy,16,0.014848501483179023,0.9564742244086675,-1.5741250000000022,-0.08653846153846154,0.9564742244086675,False,False
paired_non_minus_full,low_level,mark_density,delta_response_rate,16,0.010780719313589706,0.9683916249720633,-1.5741250000000022,-0.08173076923076925,0.9683916249720633,False,False
paired_non_minus_full,low_level,mark_density,delta_et_n_fixations,16,-0.21565942908302788,0.4224551733431785,-1.5741250000000022,-5.90625,0.6649368343724686,False,False
paired_non_minus_full,low_level,mark_density,delta_et_mean_fix_dur,16,0.0029411764705882353,0.9913748045563624,-1.5741250000000022,0.07918801908214973,0.9913748045563624,False,False
paired_non_minus_full,low_level,mark_density,delta_et_mean_saccade_mag,16,0.2647058823529412,0.3218043958686153,-1.5741250000000022,-2.1825431256641146,0.5982975602745494,False,False
paired_non_minus_full,low_level,effectiveness,delta_rt_median,16,-0.12941176470588234,0.6328823324682601,-5.018624999999946e-05,2.87464056875812,0.9579242202960289,False,False
