kind,source,feature,outcome,n,spearman_r,p_raw,p_fdr_outcome,sig_raw_0.05,sig_fdr_outcome
stimulus_raw,clipgaze,saliency_entropy,et_mean_fix_dur,48,-0.1931176726009553,0.18847307990159656,0.4810075343726402,False,False
stimulus_raw,clipgaze,saliency_entropy,et_mean_saccade_mag,48,0.28017802865827185,0.05375702040361139,0.13902316883106838,False,False
stimulus_raw,clipgaze,saliency_center_bias,rt_median,48,-0.2646547980894486,0.0690925375190872,0.16286098129499127,False,False
stimulus_raw,clipgaze,saliency_center_bias,accuracy,48,0.021773484374913187,0.8832172202816783,0.9108177584154807,False,False
stimulus_raw,clipgaze,saliency_center_bias,response_rate,48,0.05541273002986517,0.7083458970481723,0.9144876467522821,False,False
stimulus_raw,clipgaze,saliency_center_bias,et_n_fixations,48,0.047960144666871776,0.7461612054864133,0.9436752000966965,False,False
stimulus_raw,clipgaze,saliency_center_bias,et_mean_fix_dur,48,-0.13113330438558404,0.3743176488926339,0.6501306533398378,False,False
stimulus_raw,clipgaze,saliency_center_bias,et_mean_saccade_mag,48,0.3986105080330004,0.005013024620159795,0.02363283035218189,True,True
stimulus_raw,clipgaze,saliency_spread,rt_median,48,-0.4533217542336083,0.001213422385150514,0.013347646236655653,True,True
stimulus_raw,clipgaze,saliency_spread,accuracy,48,0.16939219616229928,0.24973665181475202,0.6339468853759089,False,False
stimulus_raw,clipgaze,saliency_spread,response_rate,48,0.17656623240542976,0.22994494640434218,0.7989238999757639,False,False
stimulus_raw,clipgaze,saliency_spread,et_n_fixations,48,0.09581141272837042,0.5171167667018248,0.915789156665864,False,False
stimulus_raw,clipgaze,saliency_spread,et_mean_fix_dur,48,-0.22036474164133737,0.1323092797868625,0.4366206232966462,False,False
stimulus_raw,clipgaze,saliency_spread,et_mean_saccade_mag,48,0.4468085106382978,0.0014547118819077547,0.008000915350492651,True,True
stimulus_raw,clipgaze,saliency_skewness,rt_median,48,0.12060356057316543,0.4141985938824574,0.621297890823686,False,False
stimulus_raw,clipgaze,saliency_skewness,accuracy,48,0.07584889746805201,0.6083824537012941,0.8215602131387703,False,False
stimulus_raw,clipgaze,saliency_skewness,response_rate,48,0.06549339408663753,0.6582966187904828,0.9144876467522821,False,False
stimulus_raw,clipgaze,saliency_skewness,et_n_fixations,48,-0.10103748978628153,0.49441222669832763,0.915789156665864,False,False
stimulus_raw,clipgaze,saliency_skewness,et_mean_fix_dur,48,0.16641337386018235,0.25828302448212326,0.4898728494899111,False,False
stimulus_raw,clipgaze,saliency_skewness,et_mean_saccade_mag,48,-0.18931828050369082,0.19748422729862675,0.32584897504273413,False,False
stimulus_raw,clipgaze,saliency_kurtosis,rt_median,48,0.1289622231871472,0.38234666765315106,0.6008304777406659,False,False
stimulus_raw,clipgaze,saliency_kurtosis,accuracy,48,0.06454873469119833,0.6629284642446417,0.8215602131387703,False,False
stimulus_raw,clipgaze,saliency_kurtosis,response_rate,48,0.06283407780172211,0.6713675746351621,0.9144876467522821,False,False
stimulus_raw,clipgaze,saliency_kurtosis,et_n_fixations,48,-0.12379270030926949,0.4018708852830824,0.915789156665864,False,False
stimulus_raw,clipgaze,saliency_kurtosis,et_mean_fix_dur,48,0.17954841511072514,0.22204415058454693,0.4898728494899111,False,False
stimulus_raw,clipgaze,saliency_kurtosis,et_mean_saccade_mag,48,-0.1638080764220582,0.265916652093014,0.398874978139521,False,False
stimulus_raw,clipgaze,fixation_count,rt_median,48,0.5065707856592152,0.0002389407582767633,0.007885045023133188,True,True
stimulus_raw,clipgaze,fixation_count,accuracy,48,-0.5596059639898452,3.5479556507679935e-05,0.0011708253647534379,True,True
stimulus_raw,clipgaze,fixation_count,response_rate,48,-0.48363006064802216,0.0004970482393652414,0.01640259189905297,True,True
stimulus_raw,clipgaze,fixation_count,et_n_fixations,48,-0.09965809612203949,0.5003544367314382,0.915789156665864,False,False
stimulus_raw,clipgaze,fixation_count,et_mean_fix_dur,48,0.1187284490070592,0.4215467117064463,0.6624305469672728,False,False
stimulus_raw,clipgaze,fixation_count,et_mean_saccade_mag,48,-0.19530653006970558,0.18341684199532,0.3185660939918716,False,False
stimulus_raw,clipgaze,fixation_duration_mean,rt_median,48,-0.07631350412505426,0.6061816625806088,0.6878516857603721,False,False
stimulus_raw,clipgaze,fixation_duration_mean,accuracy,48,0.02993165067234901,0.8399546852259091,0.8941453100791935,False,False
stimulus_raw,clipgaze,fixation_duration_mean,response_rate,48,0.08695345806025719,0.5567563918992172,0.9034450349824722,False,False
stimulus_raw,clipgaze,fixation_duration_mean,et_n_fixations,48,-0.15052190692837736,0.3071644306604504,0.915789156665864,False,False
stimulus_raw,clipgaze,fixation_duration_mean,et_mean_fix_dur,48,0.09683022145028224,0.5126499959321129,0.6851770193385042,False,False
stimulus_raw,clipgaze,fixation_duration_mean,et_mean_saccade_mag,48,0.22590099869735125,0.12262082783512264,0.26940470726462384,False,False
stimulus_raw,clipgaze,fixation_duration_std,rt_median,48,-0.33152409900130264,0.021344023584274677,0.06403207075282404,True,False
