modality,signal,condition_factor,condition_level,participant_id,loo_r,loo_fisher_z,pipeline
eeg,gfp_isc,adapt_x_q,fully_adapted_q2,sphynx_6,0.10878169495717686,0.1092138553452524,ica_faster
eeg,gfp_isc,adapt_x_q,fully_adapted_q2,sphynx_5_1,0.38213515416867433,0.40255752907072045,ica_faster
eeg,gfp_isc,adapt_x_q,fully_adapted_q2,sphynx_7,0.2396690215602149,0.24442293422387598,ica_faster
eeg,gfp_isc,adapt_x_q,fully_adapted_q2,sphynx_10,0.02469575969476523,0.024700782020514227,ica_faster
eeg,gfp_isc,adapt_x_q,fully_adapted_q2,sphynx_4,0.22961259877435225,0.23378046580452458,ica_faster
eeg,gfp_isc,adapt_x_q,fully_adapted_q2,sphynx_11,0.3948247180745844,0.41750294898742,ica_faster
eeg,gfp_isc,adapt_x_q,fully_adapted_q2,sphynx_8,0.04081672190800537,0.04083941154432018,ica_faster
eeg,gfp_isc,adapt_x_q,fully_adapted_q2,sphynx_9,0.20006983942904802,0.20280530451797948,ica_faster
eeg,gfp_isc,adapt_x_q,fully_adapted_q2,sphynx_2,0.4638782472906073,0.5022416203953399,ica_faster
eeg,gfp_isc,adapt_x_q,semi_adapted_q1,sphynx_12,0.14748339595787296,0.1485668931131322,ica_faster
eeg,gfp_isc,adapt_x_q,semi_adapted_q1,sphynx_13,0.2225326743446661,0.22631916509121705,ica_faster
eeg,gfp_isc,adapt_x_q,semi_adapted_q1,sphynx_3,0.4211741760007514,0.44911854160682724,ica_faster
eeg,gfp_isc,adapt_x_q,semi_adapted_q1,trial_1_3,0.15494611959701918,0.15620429152667636,ica_faster
eeg,gfp_isc,adapt_x_q,semi_adapted_q1,sphynx_6,0.15325419627468867,0.15447121256962637,ica_faster
eeg,gfp_isc,adapt_x_q,semi_adapted_q1,sphynx_5_1,0.07307856823989184,0.0732090781612525,ica_faster
eeg,gfp_isc,adapt_x_q,semi_adapted_q1,sphynx_7,0.22088074853676892,0.22458184269443796,ica_faster
eeg,gfp_isc,adapt_x_q,semi_adapted_q1,sphynx_10,0.09815104060255216,0.09846805854701135,ica_faster
eeg,gfp_isc,adapt_x_q,semi_adapted_q1,sphynx_4,0.08617041574784749,0.08638465259057647,ica_faster
eeg,gfp_isc,adapt_x_q,semi_adapted_q1,sphynx_11,0.4128508969610161,0.4390430293191976,ica_faster
eeg,gfp_isc,adapt_x_q,semi_adapted_q1,sphynx_8,0.27982767934104874,0.28749510235662856,ica_faster
eeg,gfp_isc,adapt_x_q,semi_adapted_q1,sphynx_9,-0.08991147627743441,-0.09015494195256134,ica_faster
eeg,gfp_isc,adapt_x_q,semi_adapted_q1,sphynx_2,0.4864490885468017,0.5313981111103107,ica_faster
eeg,gfp_isc,adapt_x_q,non_adapted_q1,sphynx_12,0.27434118304440236,0.2815523247995832,ica_faster
eeg,gfp_isc,adapt_x_q,non_adapted_q1,sphynx_13,0.3290734379675628,0.3417888149120556,ica_faster
eeg,gfp_isc,adapt_x_q,non_adapted_q1,sphynx_3,0.3307832017826167,0.343707425341131,ica_faster
eeg,gfp_isc,adapt_x_q,non_adapted_q1,trial_1_3,0.3835288131781892,0.40419052024825514,ica_faster
eeg,gfp_isc,adapt_x_q,non_adapted_q1,sphynx_6,0.1972358467794079,0.1998548769889468,ica_faster
eeg,gfp_isc,adapt_x_q,non_adapted_q1,sphynx_5_1,0.4077866129540751,0.4329534754523783,ica_faster
eeg,gfp_isc,adapt_x_q,non_adapted_q1,sphynx_7,0.17371880113583676,0.1754986498103469,ica_faster
eeg,gfp_isc,adapt_x_q,non_adapted_q1,sphynx_10,-0.021979511609333157,-0.021983052061807527,ica_faster
eeg,gfp_isc,adapt_x_q,non_adapted_q1,sphynx_4,0.14452883547795362,0.14554797356539875,ica_faster
eeg,gfp_isc,adapt_x_q,non_adapted_q1,sphynx_11,0.4182019233535954,0.44551082843706086,ica_faster
eeg,gfp_isc,adapt_x_q,non_adapted_q1,sphynx_8,0.29459627262476734,0.3035919325444509,ica_faster
eeg,gfp_isc,adapt_x_q,non_adapted_q1,sphynx_9,0.4896651944227064,0.5356198400539097,ica_faster
eeg,gfp_isc,adapt_x_q,non_adapted_q1,sphynx_2,0.5315910443477097,0.5923603105624766,ica_faster
eeg,gfp_isc,adapt_x_nodes,non_adapted_n6,sphynx_12,0.4258635959588932,0.45483296780037186,ica_faster
eeg,gfp_isc,adapt_x_nodes,non_adapted_n6,sphynx_13,0.27880438818798553,0.28638522096131336,ica_faster
eeg,gfp_isc,adapt_x_nodes,non_adapted_n6,sphynx_3,0.20275691233305307,0.2056059960188784,ica_faster
eeg,gfp_isc,adapt_x_nodes,non_adapted_n6,trial_1_3,0.1859527341530226,0.18814164756816396,ica_faster
eeg,gfp_isc,adapt_x_nodes,non_adapted_n6,sphynx_6,0.1438163135611042,0.14482032694812372,ica_faster
eeg,gfp_isc,adapt_x_nodes,non_adapted_n6,sphynx_5_1,0.30650363763935556,0.316681937406397,ica_faster
eeg,gfp_isc,adapt_x_nodes,non_adapted_n6,sphynx_7,0.019134421864490544,0.019136757581363725,ica_faster
eeg,gfp_isc,adapt_x_nodes,non_adapted_n6,sphynx_10,0.12503489058026196,0.12569265869650303,ica_faster
eeg,gfp_isc,adapt_x_nodes,non_adapted_n6,sphynx_4,0.17692604247116003,0.1788076048414634,ica_faster
eeg,gfp_isc,adapt_x_nodes,non_adapted_n6,sphynx_11,0.416030374185517,0.4428818769177991,ica_faster
eeg,gfp_isc,adapt_x_nodes,non_adapted_n6,sphynx_8,0.3395826853318614,0.35362074271306676,ica_faster
eeg,gfp_isc,adapt_x_nodes,non_adapted_n6,sphynx_9,0.5200070812618933,0.5763494606951145,ica_faster
eeg,gfp_isc,adapt_x_nodes,non_adapted_n6,sphynx_2,0.45758579138465194,0.49425342319899623,ica_faster
eeg,gfp_isc,adapt_x_nodes,non_adapted_n12,sphynx_12,0.2823795519926393,0.29026592536370005,ica_faster
eeg,gfp_isc,adapt_x_nodes,non_adapted_n12,sphynx_13,0.44867825902995095,0.48304415678261153,ica_faster
eeg,gfp_isc,adapt_x_nodes,non_adapted_n12,sphynx_3,0.4003057340331523,0.42401295229388125,ica_faster
eeg,gfp_isc,adapt_x_nodes,non_adapted_n12,trial_1_3,0.4776710590653249,0.5199624870651397,ica_faster
eeg,gfp_isc,adapt_x_nodes,non_adapted_n12,sphynx_6,0.07984367236901097,0.08001399244434855,ica_faster
eeg,gfp_isc,adapt_x_nodes,non_adapted_n12,sphynx_5_1,0.23707029355748535,0.24166764871630267,ica_faster
eeg,gfp_isc,adapt_x_nodes,non_adapted_n12,sphynx_7,0.2528938780320919,0.258502008872298,ica_faster
eeg,gfp_isc,adapt_x_nodes,non_adapted_n12,sphynx_10,0.13311421869779758,0.133908919417472,ica_faster
eeg,gfp_isc,adapt_x_nodes,non_adapted_n12,sphynx_4,0.2803260560421915,0.28803590096612264,ica_faster
eeg,gfp_isc,adapt_x_nodes,non_adapted_n12,sphynx_11,0.38655959088329744,0.40774885835677394,ica_faster
eeg,gfp_isc,adapt_x_nodes,non_adapted_n12,sphynx_8,0.08098838294631881,0.08116615387628724,ica_faster
eeg,gfp_isc,adapt_x_nodes,non_adapted_n12,sphynx_9,0.5627573331040754,0.6368593592214027,ica_faster
eeg,gfp_isc,adapt_x_nodes,non_adapted_n12,sphynx_2,0.32744985940358584,0.3399691572521701,ica_faster
eeg,gfp_isc,adapt_x_nodes,semi_adapted_n12,sphynx_12,0.20779930399294766,0.2108702309255489,ica_faster
eeg,gfp_isc,adapt_x_nodes,semi_adapted_n12,sphynx_13,0.16514324300068256,0.16666957608794294,ica_faster
eeg,gfp_isc,adapt_x_nodes,semi_adapted_n12,sphynx_3,0.32675548924628994,0.3391915903794884,ica_faster
eeg,gfp_isc,adapt_x_nodes,semi_adapted_n12,trial_1_3,0.39780050763165414,0.4210332205611536,ica_faster
eeg,gfp_isc,adapt_x_nodes,semi_adapted_n12,sphynx_6,-0.04554536976697683,-0.0455769018341136,ica_faster
eeg,gfp_isc,adapt_x_nodes,semi_adapted_n12,sphynx_5_1,0.37255504169456105,0.3913866622535476,ica_faster
eeg,gfp_isc,adapt_x_nodes,semi_adapted_n12,sphynx_7,0.3722274019213195,0.3910062717350873,ica_faster
eeg,gfp_isc,adapt_x_nodes,semi_adapted_n12,sphynx_10,0.012954471480805795,0.012955196219711008,ica_faster
eeg,gfp_isc,adapt_x_nodes,semi_adapted_n12,sphynx_4,0.19072009645305515,0.19308434093221244,ica_faster
eeg,gfp_isc,adapt_x_nodes,semi_adapted_n12,sphynx_11,0.27961790954550336,0.2872675258741088,ica_faster
eeg,gfp_isc,adapt_x_nodes,semi_adapted_n12,sphynx_8,0.1103846824521575,0.11083632661057295,ica_faster
eeg,gfp_isc,adapt_x_nodes,semi_adapted_n12,sphynx_9,-0.0319674910551703,-0.03197838714822972,ica_faster
eeg,gfp_isc,adapt_x_nodes,semi_adapted_n12,sphynx_2,0.05128039310593334,0.05132541448181468,ica_faster
eeg,gfp_isc,adapt_x_nodes,fully_adapted_n6,sphynx_12,0.32503981724436803,0.33727204404840494,ica_faster
eeg,gfp_isc,adapt_x_nodes,fully_adapted_n6,sphynx_13,0.10132865177331145,0.10167760117549232,ica_faster
eeg,gfp_isc,adapt_x_nodes,fully_adapted_n6,sphynx_3,0.3489298932011647,0.36422477902687705,ica_faster
eeg,gfp_isc,adapt_x_nodes,fully_adapted_n6,trial_1_3,0.028315527578732513,0.0283230987262941,ica_faster
eeg,gfp_isc,adapt_x_nodes,fully_adapted_n6,sphynx_6,0.05843013514122124,0.05849676675140462,ica_faster
eeg,gfp_isc,adapt_x_nodes,fully_adapted_n6,sphynx_5_1,0.1493459212951645,0.15047136876608636,ica_faster
eeg,gfp_isc,adapt_x_nodes,fully_adapted_n6,sphynx_7,0.3260711762067688,0.33842567201530677,ica_faster
eeg,gfp_isc,adapt_x_nodes,fully_adapted_n6,sphynx_10,0.16455217000138145,0.1660619921165217,ica_faster
eeg,gfp_isc,adapt_x_nodes,fully_adapted_n6,sphynx_4,0.1757949103531886,0.1776401615745077,ica_faster
eeg,gfp_isc,adapt_x_nodes,fully_adapted_n6,sphynx_11,0.37569214003693685,0.3950343229961585,ica_faster
eeg,gfp_isc,adapt_x_nodes,fully_adapted_n6,sphynx_8,0.3110916740479584,0.3217535998691864,ica_faster
eeg,gfp_isc,adapt_x_nodes,fully_adapted_n6,sphynx_9,-0.09618135506023992,-0.09647959875149432,ica_faster
eeg,gfp_isc,adapt_x_nodes,fully_adapted_n6,sphynx_2,0.3467145735218886,0.36170456100154047,ica_faster
eeg,gfp_isc,adapt_x_nodes,semi_adapted_n6,sphynx_12,0.10924535080274847,0.10968308753060532,ica_faster
